CSV text has been written to file : CMOS&TTL74.csv

Library Component Count : 896

Name                Description
SN74LS446           QUAD BUS TRANSCEIVER WITH INDIVIDUAL DIR CONTROL
SN74LS449           QUAD BUS TRANSCEIVER WITH INDIVIDUAL DIR CONTROL
SN74LS465           OCTAL BUF 3SO
SN74LS466           OCTAL BUF 3SO
SN74LS467           OCTAL BUF 3SO
SN74LS468           OCTAL BUF 3SO
SN74LS490           DUAL 4-BIT AND BIN CNT
SN74LS540           OCTAL BUF AND LINE DRV 3SO
SN74LS541           OCTAL BUF AND LINE DRV 3SO
SN74LS590           8-BIT BIN CNT WITH OUTPUT REGISTERS
SN74LS591           8-BIT BIN CNT WITH OUTPUT REGISTERS
SN74LS592           8-BIT BIN CNT WITH INPUT REG
SN74LS593           8-BIT BIN CNT WITH INPUT REG
SN74LS594           8-BIT SFT REG WIRTH OUTPUT LCH
SN74LS595           8-BIT SFT REG WIRTH OUTPUT LCH
SN74LS596           8-BIT SFT REG WIRTH OUTPUT LCH
SN74LS597           8-BIT SFT REG WITH INPUT LCH
SN74LS598           8-BIT SRG WITH INPUT LCH
SN74LS599           8-BIT SFT REG WIRTH OUTPUT LCH
SN74LS604           OCTAL 2-IN MULTIPLEXED LCH
SN74LS606           OCTAL 2-IN MULTIPLEXED LCH
SN74LS607           OCTAL 2-IN MULTIPLEXED LCH
SN74LS620           OCTAL BUS TRANCEIVER
SN74LS621           OCTAL BUS TRANCEIVER
SN74LS623           OCTAL BUS TRANCEIVER
SN74LS624           VOLTAGE-CONTROLLED OSC
SN74LS625           VOLTAGE-CONTROLLED OSC
SN74LS626           VOLTAGE-CONTROLLED OSC
SN74LS627           VOLTAGE-CONTROLLED OSC
SN74LS628           VOLTAGE-CONTROLLED OSC
SN74LS629           VOLTAGE-CONTROLLED OSC
SN74LS638           OCTAL BUS TRANCEIVER
SN74LS639           OCTAL BUS TRANCEIVER
SN74LS640           OCTAL BUS TRANCEIVER
SN74LS641           OCTAL BUS TRANCEIVER
SN74LS642           OCTAL BUS TRANCEIVER
SN74LS644           OCTAL BUS TRANCEIVER
SN74LS645           OCTAL BUS TRANCEIVER
SN74LS646           OCTAL BUS TRANCEIVER AND REG
SN74LS647           OCTAL BUS TRANCEIVER AND REG
SN74LS648           OCTAL BUS TRANCEIVER AND REG
SN74LS649           OCTAL BUS TRANCEIVER AND REG
SN74LS651           OCTAL BUS TRANCEIVER AND REG
SN74LS652           OCTAL BUS TRANCEIVER AND REG
SN74LS653           OCTAL BUS TRANCEIVER AND REG
SN74LS668           SYNCHRONOUS 4-BIT UP/DOWN CNT
SN74LS669           SYNCHRONOUS 4-BIT UP/DOWN CNT
SN74LS670           4-BY-4 REG FILES 3SO
SN74LS671           4-BIT UNIVERSAL SFT REG/LCH 3SO
SN74LS672           4-BIT UNIVERSAL SFT REG/LCH 3SO
SN74LS673           16-BIT SFT REG
SN74LS674           16-BIT SFT REG
SN74LS681           4-BIT PARALLEL BIN ACCUMULATOR
SN74LS682           8-BIT MAGNITUDE/IDENTITY COMPARATOR
SN74LS684           8-BIT MAGNITUDE/IDENTITY COMPARATOR
SN74LS685           8-BIT MAGNITUDE/IDENTITY COMPARATOR
SN74LS686           8-BIT MAGNITUDE/IDENTITY COMPARATOR
SN74LS687           8-BIT MAGNITUDE/IDENTITY COMPARATOR
SN74LS688           8-BIT MAGNITUDE/IDENTITY COMPARATOR
SN74LS690           SYNCHRONOUS CNT WITH OUTPUT REG AND MUX 3SO
SN74LS691           SYNCHRONOUS CNT WITH OUTPUT REG AND MUX 3SO
SN74LS693           SYNCHRONOUS CNT WITH OUTPUT REG AND MUX 3SO
SN74LS696           SYNCHRONOUS U/D CNT WITH OUTPUT REG AND MUX 3SO
SN74LS697           SYNCHRONOUS U/D CNT WITH OUTPUT REG AND MUX 3SO
SN74LS699           SYNCHRONOUS U/D CNT WITH OUTPUT REG AND MUX 3SO
SN7451              DUAL 2-WIDE 2-IN AND-OR-INVERT G
SN74S51             DUAL 2-WIDE 2-IN AND-OR-INVERT G
SN74S64             4-2-3-2 IN AND-OR-INVERT G
SN74S65             4-2-3-2 IN AND-OR-INVERT G
SN74S124            DUAL VOLTAGE-CONTROLLED OSC
SN74S133            13-IN POS Nand G
SN74S134            12-IN POS Nand G 3SO
SN74S135            QUAD XOR/NOR G
SN74S140            Dual 4-in Pos Nand 50-OHM LINE DRV
SN74S182            LOOK-AHEAD CARRY GNR
SN74S257            QUAD 2-1LINE DATA SLCR/MUX
SN74S258            QUAD 2-1LINE DATA SLCR/MUX
SN74S260            DUAL 5-IN POS NOR G
SN74S350            4-BIT SHIFTER 3SO
SN74S436            LINE DRV/MEMORY DRV CCT
SN7406              Hex Inverters Buf/Drv OCO HVO
SN7416              Hex Inverters Buf/Drv OCO HVO
SN7407              Hex Buf/Drv OCO HVO
SN7417              Hex Buf/Drv OCO HVO
SN7423              Dual 4-in Pos Nor G Strobe
SN7425              Dual 4-in Pos Nor G Strobe
SN7439              Quad 2-IN Pos Nand G BUF OCO
SN7445              BCD-To-Decimal DEC DRV
SN7450              DUAL 2-WIDE 2-IN AND-OR-INVERT G
SN7453              EXPANDABLE 4-WIDE 2-IN AND-OR-INVERT G
SN7454              4-WIDE 2-IN AND-OR-INVERT G
SN7470              AND-GATED J-K PET FF RS CR
SN7472              AND-GATED J-K ms FF RS CR
SN7476              DUAL J-K FF RS CR
SN7494              4-BIT SHIFT REG
SN7497              SYN 6-BIT BIN RATE MULT
SN74107             DUAL J-K FF CR
SN74111             DUAL J-K MS DATA LOCKOUT
SN74116             DUAL 4-BIT LCH CR
SN74120             DUAL PULSE SYNR DRV
SN74121             MONOSTABLE MULTIVIBRATOR SCHI
SN74125             QUAD BUS BUF 3SO
SN74128             QUAD LINE DRV
SN74143             4-BIT CNT/LCH SEVEN SEG LED/LAMP DRV
SN74150             DATA SELEC/MUX
SN74154             4-16LINE DEC DEMUL
SN74159             4-16LINE DEC DEMUL OCO
SN74160             SYN 4-BIT CNT
SN74161             SYN 4-BIT CNT
SN74162             SYN 4-BIT CNT
SN74163             SYN 4-BIT CNT
SN74167             SYN DECADE RATE MULTIPLIERS
SN74172             16-bit multiple-port reg file 3so
SN74173             4-BIT D-TYPE REG 3SO
SN74176             35-MHZ DECADE BIN CNT/LCH RS
SN74178             4-BIT PARALLEL-ACCESS SFT REG
SN74180             9-BIT PARITY GNR/CHKR
SN74195             4-BIT PARALLEL ACCESS SFT REG
SN74198             8-BIT SFT REG
SN74199             8-BIT SFT REG
SN74265             QUAD COMPLEMENTARY-OUTPUT ELEMENTS
SN74276             QUAD JK FF
SN74278             f4-BIT CASCADED PRIORITY REG
SN74284             4-BIT BY 4-BIT PARALLEL BIN MULT
SN74285             4-BIT BY 4-BIT PARALLEL BIN MULT
SN74376             QUAD J-K\ FF
SN74HC00            Quad 2-IN Pos Nand G
SN74HCT00           Quad 2-IN Pos Nand G
SN74HC01            Quad 2-IN Pos Nand G OCO
SN74HC02            Quad 2-IN Pos Nor G
SN74HCT02           Quad 2-IN Pos Nor G
SN74HC03            Quad 2-IN Pos Nand G OCO
SN74HC04            Hex Inverters
SN74HCT04           Hex Inverters
SN74HCU04           Hex Inverters
SN74HC05            Hex Inverters OCO
SN74HC08            Quad 2-IN Pos And G
SN74HCT08           Quad 2-IN Pos And G
SN74HC09            Quad 2-IN Pos And G OCO
SN74HC10            Triple 3-IN Pos Nand G
SN74HC11            Triple 3-IN Pos And G
SN74HC14            Hex Inverter SCH
SN74HC20            Dual 4-IN Pos Nand G
SN74HC21            Dual 4-IN Pos And G
SN74HC27            Triple 3-IN Pos Nor G
SN74HC30            8-IN Nand Pos G
SN74HC32            Quad 2-IN Pos Or G
SN74HCT32           Quad 2-IN Pos Or G
SN74HC36            Quad 2-IN Pos NOR G
SN74HC42            4-line BCD to 10-line decimal Dec
SN74HC51            DUAL 2-WIDE 2&3-IN AND-OR-INVERT G
SN74HC73            DUAL J-K FF CR
SN74HC74            DUAL D PET FF RS CR
SN74HCT74           DUAL D PET FF RS CR
SN74HC75            4-BIT BISTABLE LCH
SN74HC76            DUAL J-K NET FF RS CR
SN74HC78            DUAL J-K FF RS COM CLK COM CR
SN74HC85A           4-BIT MAGNITUDE COMP
SN74HC86            QUAD 2-IN XOR  G
SN74HC107           DUAL J-K FF CR
SN74HC109           DUAL J-K PET FF RS CR
SN74HC112           DUAL J-K NET FF RS CR
SN74HC113           DUAL J-K NET FF RS
SN74HC114           DUAL J-K NET FF RS COM CR COM CLK
SN74HC125           QUAD BUS BUF 3SO
SN74HC126           QUAD BUS BUF 3SO
SN74HC132           QUAD 2-IN POS NAND SCH
SN74HC133           13-IN POS Nand G
SN74HC137           3-8LINE DEC/DEMUL ADDRESS LCH
SN74HCT137          3-8LINE DEC/DEMUL ADDRESS LCH
SN74HC138           3-8LINE DEC/DEMUL
SN74HCT138          3-8LINE DEC/DEMUL
SN74HC139           DUAL 2-4LINE DEC/DEMULT
SN74HCT139          DUAL 2-4LINE DEC/DEMULT
SN74HC147           10-4 LINE PRIORITY ENC
SN74HC148           8-3 LINE PRIORITY ENC
SN74HC151           DATA SELEC/MUX
SN74HC152           8 TO 1-LINE DATA SELEC/MUX
SN74HC153           DUAL 4-1 LINE DATA SELEC/MUX
SN74HC154           4-16LINE DEC DEMUL
SN74HC157           QUAD 2-1LINE DATA SELEC/MUX
SN74HC158           QUAD 2-1LINE DATA SELEC/MUX
SN74HC160           SYN 4-BIT CNT
SN74HC161           SYN 4-BIT CNT
SN74HC162           SYN 4-BIT CNT
SN74HC163           SYN 4-BIT CNT
SN74HC164           8-BIT PALL SERI SFT REG
SN74HC165           PALL LOAD 8-BIT SFT REG
SN74HC166           PALL LOAD 8-BIT SFT REG
SN74HC173           4-BIT D-TYPE REG 3SO
SN74HC174           HEX D-TYPE FF CR
SN74HC175           QUAD D-TYPE FF CR
SN74HC180           9-BIT PARITY GNR/CHKR
SN74HC190           SYN UP/DOWN CNT DOWN/UP MODE CONTTOL
SN74HC191           SYN UP/DOWN CNT DOWN/UP MODE CONTTOL
SN74HC192           SYN 4-BIT UP/DOWN CNT DUAL CLK CR
SN74HC193           SYN 4-BIT UP/DOWN CNT DUAL CLK CR
SN74HC194           4-BIT BIDIRECTIONAL UNIVERSAL SFT REG
SN74HC195           4-BIT PARALLEL ACCESS SFT REG
SN74HC237           3-8LINE DEC/DEMUL ADDRESS LCH
SN74HCT237          3-8LINE DEC/DEMUL ADDRESS LCH
SN74HC238           3-8LINE DEC/DEMUL
SN74HCT238          3-8LINE DEC/DEMUL
SN74HC239           DUAL 2-4LINE DEC/DEMULT
SN74HC240           OCTAL BUF AND LIN DRV 3SO
SN74HCT240          OCTAL BUF AND LIN DRV 3SO
SN74HC241           OCTAL BUF AND LIN DRV 3SO
SN74HCT241          OCTAL BUF AND LIN DRV 3SO
SN74HC242           QUAD BUS TRANSCEIVER
SN74HC243           QUAD BUS TRANSCEIVER
SN74HC244           OCTAL BUF AND LIN DRV 3SO
SN74HCT244          OCTAL BUF AND LIN DRV 3SO
SN74HC245           QUAD BUS TRANSCEIVER 3SO
SN74HCT245          QUAD BUS TRANSCEIVER 3SO
SN74HC251           DATA SLCR/MUX 3SO
SN74HC253           DUAL 4-1LINES DATA SLCR/MUX
SN74HC257           QUAD 2-1LINE DATA SLCR/MUX
SN74HC258           QUAD 2-1LINE DATA SLCR/MUX
SN74HC259           8-BIT ADDRESSABLE LCH
SN74HC266           QUAD 2-IN XOR  G OCO
SN74HC273           OCTAL D-TYPE FF CR
SN74HC280           9-BIT ODD/EVEN PARITY GNR/CHKR
SN74HC283           4-BIT BIN ADD WITH FC
SN74HC298           QUAD 2-IN MUX WITH STORAGE
SN74HC299           8-BIT UNIVERSAL SFT/STORAGE REG
SN74HC354           8-1LINE DATA SLCR/MUX/REG
SN74HC365           HEX BUS DRV 3SO
SN74HC366           HEX BUS DRV 3SO
SN74HC367           HEX BUS DRV 3SO
SN74HC368           HEX BUS DRV 3SO
SN74HC373           OCTAL TRANSPARENT LCH
SN74HCT373          OCTAL TRANSPARENT LCH
SN74HC374           OCTAL  D-TYPE EDGE-TRIGGERED FF 3SO
SN74HCT374          OCTAL  D-TYPE EDGE-TRIGGERED FF 3SO
SN74HC375           4-BIT BISTABLE LCH
SN74HC377           OCTAL D-TYPE FF WITH ENABLE
SN74HC378           HEX D-TYPE FF WITH ENABLE
SN74HC379           QUAD D-TYPE FF WITH ENABLE
SN74HC386           QUAD 2-IN XOR
SN74HC390           DUAL 4-BIT AND BIN CNT
SN74HC393           DUAL 4-BIT AND BIN CNT
SN74HC490           DUAL 4-BIT AND BIN CNT
SN74HC533           OCTAL D-TYPE TRANSPARENT LCH 3SO
SN74HCT533          OCTAL D-TYPE TRANSPARENT LCH 3SO
SN74HC534           OCTAL TRANSPARENT LCH
SN74HCT534          OCTAL TRANSPARENT LCH
SN74HC540           OCTAL BUF AND LINE DRV 3SO
SN74HCT540          OCTAL BUF AND LINE DRV 3SO
SN74HC541           OCTAL BUF AND LINE DRV 3SO
SN74HCT541          OCTAL BUF AND LINE DRV 3SO
SN74HC563           OCTAL D-TYPE TRANSPARENT LCH 3SO
SN74HCT563          OCTAL D-TYPE TRANSPARENT LCH 3SO
SN74HC564           OCTAL D-TYPE EDGE-TRIGGERED FF 3SO
SN74HCT564          OCTAL D-TYPE EDGE-TRIGGERED FF 3SO
SN74HC573           OCTAL D-TYPE TRANSPARENT LCH 3SO
SN74HCT573          OCTAL D-TYPE TRANSPARENT LCH 3SO
SN74HC574           OCTAL D-TYPE EDGE-TRIGGERED FF 3SO
SN74HCT574          OCTAL D-TYPE EDGE-TRIGGERED FF 3SO
SN74HC590A          8-BIT BIN CNT WITH OUTPUT REGISTERS
SN74HC594           8-BIT SFT REG WIRTH OUTPUT LCH
SN74HC595           8-BIT SFT REG WIRTH OUTPUT LCH
SN74HC620           OCTAL BUS TRANCEIVER
SN74HCT620          OCTAL BUS TRANCEIVER
SN74HC623           OCTAL BUS TRANCEIVER
SN74HCT623          OCTAL BUS TRANCEIVER
SN74HC640           OCTAL BUS TRANCEIVER
SN74HCT640          OCTAL BUS TRANCEIVER
SN74HC643           OCTAL BUS TRANCEIVER
SN74HCT643          OCTAL BUS TRANCEIVER
SN74HC645           OCTAL BUS TRANCEIVER
SN74HCT645          OCTAL BUS TRANCEIVER
SN74HC646           OCTAL BUS TRANCEIVER AND REG
SN74HCT646          OCTAL BUS TRANCEIVER AND REG
SN74HC648           OCTAL BUS TRANCEIVER AND REG
SN74HCT648          OCTAL BUS TRANCEIVER AND REG
SN74HC651           OCTAL BUS TRANCEIVER AND REG
SN74HCT651          OCTAL BUS TRANCEIVER AND REG
SN74HC652           OCTAL BUS TRANCEIVER AND REG
SN74HCT652          OCTAL BUS TRANCEIVER AND REG
SN74HC679           12-BIT ADDRESS COMPARATORS
SN74HC682           8-BIT MAGNITUDE/IDENTITY COMPARATOR
SN74HC688           8-BIT IDENTITY COMPARATOR
SN74HC805           HEX 2-IN NOR DRIVERS
SN74HC808           HEX 2-IN AND DRIVERS
SN74HC832           HEX 2-IN OR DRIVERS
SN74HC4002          Dual 4-INPUT NOR GATE
SN74HC4017          DECADE COUNTER/DIVIDER
SN74HC4020          14-BIT BINARY COUNTER
SN74HC4024          ASYNCHRONOUS 7-BIT BINARY COUNTERS
SN74HC4040          ASYNCHRONOUS 12-BIT BINARY COUNTERS
SN74HC4060          ASYNCHRONOUS 14-STAGE BINARY COUNTERS AND OSCILATORS
SN74HC4061          ASYNCHRONOUS 14-STAGE BINARY COUNTERS AND OSCILATORS
SN74HC4075          TRIPLE 3-INPUT OR GATE
SN74HC4078A         8-INPUT OR/NOR GATE
SN74HC4514          4-LINE TO 16-LINE DECODER/DEMULTIPLEXERS WITH ADDRESS LATCHES
SN74HC4724          8-BIT ADDRESSABLE LARCHES
SN74HC7001          Quad 2-IN Pos AND G SCH INPUTS
SN74HC7002          Quad 2-IN Pos NOR G SCH INPUTS
SN74HC7032          Quad 2-IN Pos OR G SCH INPUTS
SN74HC7074          6-SECTION MULTIFUNCTION NAND INVERT NOR FF
SN74HC7266          QUAD 2-IN XNOR G
TLC40161            QUAD ANALOG SWITCH MULTIPLEXER
TLC4066             QUAD ANALOG SWITCH MULTIPLEXER
4000                Dual 3-Input NOR Gate plus Inverter
4001                Quad 2-Input NOR Gate
4002                Dual 4-Input NOR Gate
4006                18-Stage Static Shift Register
4008                4-Bit Full Adder with Parallel Carry Output
4011                Quad 2-Input NAND Gate
4012                Dual 4-Input NAND Gate
4013                Dual D-Type Flip-Flop
4014                8-Stage Shift Register (Synchronous Parallel or Serial Input/Serial Output)
4015                Dual 4-Stage Static Shift Register with Serial Input/Parallel Output
4017                Decade Counter with 10 Decoded Outputs
4018                Presettable Divide-by-N Counter
4019                Quad AND/OR Select Gate
4020                14-Stage Ripple-Carry Binary Counter
4021                8-Stage Shift Register (Asynchronous Parallel Input or Synchronous Serial Input/Serial Output)
4022                Octal Counter with 8 Decoded Outputs
4023                Triple 3-Input NAND Gate
4024                7-Stage Ripple-Carry Binary Counter
4025                Triple 3-Input NOR Gate
4027                Dual J-K Master-Slave Flip-Flop
4028                BCD to Decimal Decoder
4029                Presettable Up/Down Counter Binary or BCD Decade
4030                Quad Exclusive-OR Gate
4031                64-Stage Static Shift Register
4035                4-Stage Parallel In/Parallel Out Shift Register
4040                12-Stage Ripple-Carry Binary Counter
4041                Quad True/Complement Buffer
4042                Quad Clocked D-Latch
4043                Quad 3-State R-S Latch
4044                Quad 3-State R-S Latch
4049                Inverting Hex Buffer / Converter
4050                Non-Inverting Hex Buffer/Converter
4068                8-Input NAND/AND Gate
4069                Hex Inverter
4070                Quad Exclusive-OR Gate
4071                Quad 2-Input OR Gate
4072                Dual 4-Input OR Gate
4073                Triple 3-Input AND Gate
4075                Triple 3-Input OR Gate
4076                4-Bit D-Type Register
4077                Quad Exclusive-NOR Gate
4078                8-Input NOR/OR Gate
4081                Quad 2-Input AND Gate
4082                Dual 4-Input AND Gate
4085                Dual 2-Wide 2-Input AND-OR-Inverter Gate
4086                Expandable 4-Wide 2-Input AND-OR-INVERT Gate
4093                Quad 2-Input NAND Schmitt-Trigger
4094                8-Stage Shift-and-Store Bus Register
4502                Strobed Hex Inverter/Buffer
4505                64-Bit, 1-Bit per word Random Access Read/Write Memory
4508                Dual 4-Bit Latch with 3-State Outputs
4510                Presettable Up/Down Counter
4511                BCD-TO-7 Segment Latch/Decoder/LCD Driver
4512                8-Channel Data Selector
4514                4-Bit Latch/4-to-16 Line Decoder
4515                4-Bit Latch/4-to-16 Line Decoder
4516                Presettable Up/Down Counter
4517                Dual 64-Stage Static Shift Register
4518                Dual BCD Up - Counter
4519                Quad 2-Input Multiplexer
4520                Dual Binary Up - Counter
4520X2              Dual Binary Up - Counter
4522                Programmable 4-Bit BCD Down Counter
4526                Programmable 4-Bit Binary Down Counter
4531                12-Input Parity Generator
4532                Priority Encoder (8-Level)
4539                Dual 4-Input Data Selector
4543                BCD-to-7 Segment Latch/Decoder/LCD Driver
4555                Dual Binary to 1-of-4 Decoder/Demultiplexer
4556                Dual Binary to 1-of-4 Decoder/Demultiplexer (Inverting)
4585                4-Bit Magnitude Comparator
4731                Quad 64-Bit Static Shift Register
