CSV text has been written to file : CMOS&TTL74.csv

Library Component Count : 896

Name                Description
74F194              4-Bit Bidirectional Universal Shift Register
74LS195             4-Bit Parallel-Access Shift Register
74F195              4-Bit Parallel-Access Shift Register
74199               8-Bit Shift Register
74LS199             8-Bit Shift Register
74F199              8-Bit Shift Register
74F240              Octal Buffer and Line Driver with 3-State Output
74LS240             Octal Buffer and Line Driver with 3-State Output
74LS241             Octal Buffer and Line Driver with 3-State Output
74F241              Octal Buffer and Line Driver with 3-State Output
74LS242             Quad Bus Transceiver
74F242              Quad Bus Transceiver
74F243              Quad Bus Transceiver
74LS243             Quad Bus Transceiver
74F244              Octal Buffer and Line Driver with 3-State Output
74LS244             Octal Buffer and Line Driver with 3-State Output
74LS245             Octal Bus Transceiver with 3-State Output
74F245              Octal Bus Transceiver with 3-State Output
74LS251             1-of-8 Data Selectors/Multiplexers with 3-State Output
74F251              1-of-8 Data Selectors/Multiplexers with 3-State Output
74F251A             1-of-8 Data Selectors/Multiplexers with 3-State Output
74LS253             Dual 4-Line to 1-Line Data Selector/Multiplexer with 3-State Output
74F253              Dual 4-Line to 1-Line Data Selector/Multiplexer with 3-State Output
74LS256             Dual 4-Bit Addressable Latch
74F256              Dual 4-Bit Addressable Latch
74LS257             Quad 2-Line to 1-Line Data/Selector/Multiplexer with 3-State Output
74F257              Quad 2-Line to 1-Line Data/Selector/Multiplexer with 3-State Output
74F257A             Quad 2-Line to 1-Line Data/Selector/Multiplexer with 3-State Output
74LS258             Quad 2-Line to 1-Line Data/Selector/Multiplexer with 3-State Output
74F258              Quad 2-Line to 1-Line Data/Selector/Multiplexer with 3-State Output
74F258A             Quad 2-Line to 1-Line Data/Selector/Multiplexer with 3-State Output
74LS259             8-Bit Addressable Latch
74F259              8-Bit Addressable Latch
74LS273             Octal D-Type Flip-Flop with Clear
74F273              Octal D-Type Flip-Flop with Clear
74F280A             9-Bit Odd/Even Parity Generator/Checker
74F280B             9-Bit Odd/Even Parity Generator/Checker
74LS283             4-Bit Binary Full Adder with Fast Carry
74F283              4-Bit Binary Full Adder with Fast Carry
74LS298             Quad 2-Input Multiplexer with Storage
74F298              Quad 2-Input Multiplexer with Storage
74LS352             Dual 4-Line to 1-Line Data Selector/Multiplexer
74F352              Dual 4-Line to 1-Line Data Selector/Multiplexer
74LS353             Dual 4-Line to 1-Line Data Selector/Multiplexer with 3-State Output
74F353              Dual 4-Line to 1-Line Data Selector/Multiplexer with 3-State Output
74LS373             Octal D-Type Transparent Latch with 3-State Output
74F373              Octal D-Type Transparent Latch with 3-State Output
74LS374             Octal D-Type Edge-Triggered Flip-Flop with 3-State Output
74F374              Octal D-Type Edge-Triggered Flip-Flop with 3-State Output
74LS377             Octal D-Type Flip-Flop with Enable
74F377              Octal D-Type Flip-Flop with Enable
74LS378             Hex D-Type Flip Flop with Enable
74F378              Hex D-Type Flip Flop with Enable
74LS568             Synchronous 4-Bit Up/Down Decade Counter with 3-State Outputs
74F568              Synchronous 4-Bit Up/Down Decade Counter with 3-State Outputs
74LS569             Synchronous 4-Bit Up/Down Binary Counter with 3-State Outputs
74F569              Synchronous 4-Bit Up/Down Binary Counter with 3-State Outputs
74LS01              Quad 2-Input Positive-NAND Gate with Open-Collector Output
74LS03              Quad 2-Input Positive-NAND Gate with Open-Collector Output
74LS05              Hex Inverter with Open-Collector Output
74LS09              Quad 2-Input Positive-AND Gate with Open-Collector Output
74LS12              Triple 3-Input Positive-NAND Gate with Open-Collector Output
74LS15              Triple 3-Input Positive-AND Gate with Open-Collector Output
74LS21              Dual 4-Input Positive-AND Gate
74LS22              Dual 4-Input Positive-NAND Gate with Open-Collector Outputs
74LS25              Dual 4-Input NOR Gate with Strobe
7425                Dual 4-Input NOR Gate with Strobe
74LS26              High-Voltage Interface Positive-NAND Gate
74LS33              Quad 2-Input Positive-NOR Buffer with Open-Collector Output
74LS38              Quad 2-Input Positive-NAND Buffer with Open-Collector Output
74LS42              4-Line BCD to 10-Line Decimal Decoder
74LS47              BCD-to-Seven-Segment Decoder/Driver
74LS48              BCD-to-Seven-Segment Decoder/Driver
74LS73              Dual J-K Flip-Flop with Clear
74LS73A             Dual J-K Flip-Flop with Clear
74LS73X2            Dual J-K Flip-Flop with Clear
74LS74X2            Dual D-Type Positive-Edge-Triggered Flip-Flop with Clear and Preset
74LS75              4-Bit Bistable Latch
74LS76              Dual J-K Flip-Flop with Clear and Preset
74LS76A             Dual J-K Flip-Flop with Clear and Preset
74LS76X2            Dual J-K Flip-Flop with Clear and Preset
74LS83A             4-Bit Binary Full Adder with Fast Carry
74LS90              Binary Counter
74LS92              Divide-by-Twelve Counter
74LS93              4-Bit Binary Counter
74LS95              4-Bit Parallel-Access Shift Register
74LS96              5-Bit Shift Register
74LS107             Dual J-K Flip-Flops with Clear
74LS107X2           Dual J-K Flip-Flops with Clear
74LS112A            Dual J-K Negative-Edge-Triggered Flip-Flop with Clear and Preset
74LS136             Quad 2-Input Exclusive-OR Gate with Open-Collector Output
74LS139             Dual 2-Line to 4-Line Decoder/Demultiplexer
74LS139X2           Dual 2-Line to 4-Line Decoder/Demultiplexer
74LS147             10-Line to 4-Line Priority Encoder
74147               10-Line to 4-Line Priority Encoder
74LS155             Dual 2-Line to 4-Line Decoder/Demultiplexer
74LS156             Dual 2-Line to 4-Line Decoder/Demultiplexer with Open-Collector Outputs
74LS165             Parallel-Load 8-Bit Shift Register
74LS197             30-MHz Presettable Binary Counter/Latch
74LS247             BCD-to-Seven Segment Decoder/Driver
74LS248             BCD-to-Seven Segment Decoder/Driver
74LS249             BCD-to-Seven Segment Decoder with Open-Collector Outputs
74LS266             Quad Exclusive-NOR Gate with Open-Collector Output
74LS280             9-Bit Odd/Even Parity Generator/Checker
74S280              9-Bit Odd/Even Parity Generator/Checker
74LS290             Decade Counter
74LS293             4-Bit Binary Counter
74LS375             4-Bit Bistable Latch
74LS386             Quad Exclusive-OR Gate
7428                Quad 2-Input NOR Gate
7439                Quad 2-Input Positive-NAND Buffer with Open-Collector Output
7445                BCD-to-Decimal Decoder/Driver
SN7400              Quad 2-IN Pos Nand G
SN74LS00            Quad 2-IN Pos Nand G
SN74S00             Quad 2-IN Pos Nand G
SN7401              Quad 2-IN Pos Nand G OCO
SN74LS01            Quad 2-IN Pos Nand G OCO
SN7402              Quad 2-IN Pos Nor G
SN74LS02            Quad 2-IN Pos Nor G
SN74S02             Quad 2-IN Pos Nor G
SN74LS03            Quad 2-IN Pos Nand G OCO
SN7403              Quad 2-IN Pos Nand G OCO
SN74S03             Quad 2-IN Pos Nand G OCO
SN74LS04            Hex Inverters
SN7404              Hex Inverters
SN74S04             Hex Inverters
SN7405              Hex Inverters OCO
SN74LS05            Hex Inverters OCO
SN74S05             Hex Inverters OCO
SN7408              Quad 2-IN Pos And G
SN74LS08            Quad 2-IN Pos And G
SN74S08             Quad 2-IN Pos And G
SN7409              Quad 2-IN Pos And G OCO
SN74LS09            Quad 2-IN Pos And G OCO
SN74S09             Quad 2-IN Pos And G OCO
SN7410              Triple 3-IN Pos Nand G
SN74LS10            Triple 3-IN Pos Nand G
SN74S10             Triple 3-IN Pos Nand G
SN74LS11            Triple 3-IN Pos And G
SN74S11             Triple 3-IN Pos And G
SN7412              Triple 3-IN Pos Nand G OCO
SN74LS12            Triple 3-IN Pos Nand G OCO
SN74LS13            Dual 4-IN Pos Nand G SCH
SN7413              Dual 4-IN Pos Nand G SCH
SN7414              Hex Inverter SCH
SN74LS14            Hex Inverter SCH
SN74LS15            Triple 3-IN Pos And G OCO
SN74S15             Triple 3-IN Pos And G OCO
SN74LS19A           Hex Inverter Totem
SN7420              Dual 4-IN Pos Nand G
SN74LS20            Dual 4-IN Pos Nand G
SN74S20             Dual 4-IN Pos Nand G
SN74LS21            Dual 4-IN Pos And G
SN7422              Dual 4-IN Pos And G OCO
SN74LS22            Dual 4-IN Pos And G OCO
SN74S22             Dual 4-IN Pos And G OCO
SN74LS24A           Quad 2-IN Pos Nand G SCH totem
SN74LS26            Quad 2-IN Pos Nand G HV INTF
SN7426              Quad 2-IN Pos Nand G HV INTF
SN7427              Triple 3-IN Pos Nor G
SN74LS27            Triple 3-IN Pos Nor G
SN74LS28            Quad 2-IN Pos Nor G BUF
SN7428              Quad 2-IN Pos Nor G BUF
SN7430              8-IN Nand Pos G
SN74LS30            8-IN Nand Pos G
SN74S30             8-IN Nand Pos G
SN74LS31            Delay Elements
SN7432              Quad 2-IN Pos Or G
SN74LS32            Quad 2-IN Pos Or G
SN74S32             Quad 2-IN Pos Or G
SN74LS33            Quad 2-IN Pos Nor G BUF OCO
SN7433              Quad 2-IN Pos Nor G BUF OCO
SN7437              Quad 2-IN Pos Nand G BUF
SN74LS37            Quad 2-IN Pos Nand G BUF
SN74S37             Quad 2-IN Pos Nand G BUF
SN7438              Quad 2-IN Pos Nand G BUF OCO
SN74LS38            Quad 2-IN Pos Nand G BUF OCO
SN74S38             Quad 2-IN Pos Nand G BUF OCO
SN74LS40            Dual 4-in Pos Nand G BUF
SN7440              Dual 4-in Pos Nand G BUF
SN74S40             Dual 4-in Pos Nand G BUF
SN74LS42            4-line BCD to 10-line decimal Dec
SN7442A             4-line BCD to 10-line decimal Dec
SN7446A             BCD-To-SEVEN-SEGMENT DEC DRV
SN74LS47            BCD-To-SEVEN-SEGMENT DEC DRV
